iter	MultiClass
0	1.285760302
1	1.20519619
2	1.141213835
3	1.081307353
4	1.034516181
5	0.9886234407
6	0.9493180382
7	0.912944784
8	0.8806553235
9	0.8498713193
10	0.8226840626
11	0.7981209955
12	0.7763833702
13	0.755217898
14	0.7359888589
15	0.7199696247
16	0.7047248367
17	0.6898178359
18	0.6754999224
19	0.6624575411
20	0.6502799147
21	0.6386073531
22	0.6273515392
23	0.6165650779
24	0.6066013394
25	0.5974167019
26	0.5880106123
27	0.5791674193
28	0.5710703294
29	0.5628453338
30	0.5544404632
31	0.5464259664
32	0.539271554
33	0.5314432147
34	0.5233514086
35	0.516837674
36	0.5103295128
37	0.5049768251
38	0.4997162767
39	0.4939743608
40	0.4892001369
41	0.483674143
42	0.47802759
43	0.4729686993
44	0.4664349446
45	0.4611185703
46	0.4561426722
47	0.451323584
48	0.447203508
49	0.4418827995
50	0.4369140817
51	0.4326671246
52	0.4286586209
53	0.4239423458
54	0.4190832071
55	0.4144857171
56	0.4112599193
57	0.4075873223
58	0.4037935331
59	0.400612329
60	0.3967710393
61	0.3933016801
62	0.3899095236
63	0.3874899523
64	0.384018686
65	0.3806141146
66	0.3776973067
67	0.3741239862
68	0.3714207749
69	0.3688518771
70	0.3657112655
71	0.3621704285
72	0.3593912023
73	0.3563287111
74	0.353550793
