iter	Passed	Remaining
0	23	1766
1	45	1649
2	66	1600
3	89	1592
4	112	1573
5	136	1569
6	161	1565
7	185	1551
8	212	1556
9	236	1534
10	260	1516
11	280	1470
12	297	1420
13	315	1374
14	332	1331
15	350	1291
16	369	1262
17	386	1224
18	406	1197
19	424	1167
20	443	1139
21	461	1111
22	479	1084
23	496	1055
24	515	1030
25	533	1005
26	552	982
27	570	958
28	589	935
29	607	911
30	624	886
31	642	863
32	660	841
33	679	818
34	696	795
35	717	776
36	735	755
37	753	733
38	772	712
39	790	691
40	809	670
41	826	649
42	846	629
43	866	610
44	884	589
45	902	568
46	921	548
47	939	528
48	956	507
49	974	487
50	991	466
51	1009	446
52	1028	427
53	1051	409
54	1072	389
55	1092	370
56	1113	351
57	1134	332
58	1153	312
59	1170	292
60	1188	272
61	1206	252
62	1225	233
63	1243	213
64	1264	194
65	1283	175
66	1301	155
67	1319	135
68	1339	116
69	1360	97
70	1380	77
71	1399	58
72	1418	38
73	1437	19
74	1456	0
